author_id,author_full_name
ABCD736483,"Iwan Nawrocki"
BCDE234786,"Magdalena Grabowska"
CDEF645312,"Katarzyna Kamińska"
EFGH125678,"Maria Kowalska"
FGHI569012,"Damian Nowakowski"
GHIJ876234,"Marek Jankowski"
IJKL987601,"Piotr Nowak"
JKLM781234,"Karolina Pawlak"
KLMN987234,"Agnieszka Kaczmarek"
MNOP345879,"Anna Wiśniewska"
NOPQ124567,"Rafał Adamczyk"
OPQR356723,"Bartosz Zieliński"
QRST783246,"Wojciech Dąbrowski"
RSTU890234,"Joanna Zając"
STUV876590,"Ewa Szymańska"
UVWX903456,"Zofia Lewandowska"
VWXY456789,"Paweł Król"
WXYZ346789,"Krzysztof Wójcik"
YZAB789034,"Michał Woźniak"
